Переработка;Нефтегазовая инженерия (Petroleum engineering) (магистратура)
Переработка;Технологии нефти, газа и природных битумов (магистратура)
Переработка;Химическая технология топлива и газа (магистратура)
Переработка;Экозащитные и ресурсосберегающие технологии в нефтегазопереработке (магистратура)
Переработка;Эксплуатация и обслуживание объектов нефтегазового комплекса
Переработка;Организация строительства, реконструкции и капитального ремонта нефтегазовых объектов (магистратура)
Переработка;Технический контроль и диагностирование объектов и сооружений нефтегазового комплекса (магистратура)
Переработка;Проектирование, эксплуатация и диагностика технологических процессов и объектов нефтегазового производства (магистратура)
Транспортировка, хранение и сбыт;Технологии эксплуатации и обслуживания объектов переработки, транспорта и хранения газа, нефти и продуктов переработки
Транспортировка, хранение и сбыт;Эксплуатация и обслуживание объектов транспорта и хранения нефти, газа и продуктов переработк
Транспортировка, хранение и сбыт;Инжиниринг транспортных систем
Транспортировка, хранение и сбыт;Трубопроводный транспорт углеводородов
Транспортировка, хранение и сбыт;Системы транспорта и хранения нефти и газа
Транспортировка, хранение и сбыт;Проектирование объектов газонефтетранспортных систем (магистратура)
Транспортировка, хранение и сбыт;Химическая технология топлива и газа (магистратура)
Транспортировка, хранение и сбыт;Машины и оборудование для добычи и транспортировки углеродов
Транспортировка, хранение и сбыт;Технологии добычи, транспортировки и переработки нефти и газа (магистратура)
Транспортировка, хранение и сбыт;Техническая диагностика газотранспортных систем (магистратура)
Транспортировка, хранение и сбыт;Промышленная и экологическая безопасность при транспортировке нефти и газа в условиях Арктики (магистратура)
Транспортировка, хранение и сбыт;Эксплуатация и обслуживание объектов транспорта, хранения и распределения нефти, нефтепродуктов и газа
Транспортировка, хранение и сбыт;Сервис транспортных и транспортно-технологических машин и оборудования
Транспортировка, хранение и сбыт;Инновационные технологии и материалы в трубопроводном транспорте нефти и газа (магистратура)
Транспортировка, хранение и сбыт;Проектирование, строительство и эксплуатация объектов производства, транспорта и хранения сжиженных газов (магистратура)
Транспортировка, хранение и сбыт;Транспорт и хранение энергоресурсов/Global Energy Transportation and Storage (магистратура)
Транспортировка, хранение и сбыт;Инновационные технологии транспорта и хранения углеводородов (магистратура)
Транспортировка, хранение и сбыт;Сооружение и ремонт объектов и систем трубопроводного транспорта
Транспортировка, хранение и сбыт;Эксплуатация и обслуживание объектов транспорта и хранения нефти, газа и продуктов переработки
Транспортировка, хранение и сбыт;Проектирование и строительство объектов систем трубопроводного транспорта
Транспортировка, хранение и сбыт;Технологии трубопроводного транспорта нефти и газа, подземного хранения газа
Транспортировка, хранение и сбыт;Трубопроводный транспорт углеводородов (магистратура)
Транспортировка, хранение и сбыт;Теплоэнергетика и теплотехника
Транспортировка, хранение и сбыт;Нефтегазовая инженерия (Petroleum engineering) (магистратура)
Транспортировка, хранение и сбыт;Добыча и транспортировка нефти и газа
